#OTUId	008_ZP6	032_ZP9	006_ZP3	030_ZP12	029_ZP9	030_ZP0	023_ZP3	018_ZP0	025_ZP0	011_ZP3-1	002_ZP6	014_ZP0	021_ZP9-1	010_ZP6	042_ZP3	039_ZP9	035_ZP0	012_ZP12	010_ZP3	040_ZP3	032_ZP6-1	019_ZP0	019_ZP12	029_ZP12	012_ZP9	023_ZP6	034_ZP12	021_ZP9-2	036_ZP0-1	040_ZP6	024_ZP0	012_ZP6	040_ZP0	028_ZP3	026_ZP0	028_ZP0	022_ZP3	011_ZP6	006_ZP6-1	009_ZP6	022_ZP0	007_ZP9	009_ZP9	008_ZP0	003_ZP9	004_ZP3	004_ZP0	001_ZP9	017_ZP9	024_ZP12-2	005_ZP12	028_ZP9	021_ZP6	015_ZP6	024_ZP6	025_ZP12	006_ZP6-2	014_ZP6	041_ZP0	017_ZP6	017_ZP12	024_ZP9	027_ZP12	042_ZP0	003_ZP12	011_ZP3-2	007_ZP3	035_ZP6	007_ZP12	010_ZP12	018_ZP3	019_ZP9	025_ZP3	030_ZP9	041_ZP3	018_ZP12	023_ZP0	035_ZP12	030_ZP3	013_ZP9	007_ZP6-1	006_ZP0	036_ZP6	016_ZP0-1	022_ZP9	027_ZP3	027_ZP0	009_ZP0	014_ZP9	018_ZP9	013_ZP3	016_ZP12	023_ZP9	032_ZP3-2	017_ZP3	032_ZP6-2	038_ZP3	023_ZP12	013_ZP0	029_ZP0	007_ZP0	028_ZP6	035_ZP3	020_ZP0-2	036_ZP0-2	037_ZP6	002_ZP9	038_ZP6	002_ZP0	024_ZP12-1	011_ZP0	033_ZP0	014_ZP12	034_ZP3	009_ZP3	032_ZP3-1	001_ZP0	022_ZP12	020_ZP9-2	038_ZP0	012_ZP0	003_ZP6	003_ZP3	020_ZP12	005_ZP0	028_ZP12	020_ZP0-1	015_ZP3	013_ZP6	029_ZP6	026_ZP9	019_ZP3	001_ZP3	026_ZP12	015_ZP12	011_ZP12	041_ZP6	030_ZP6	001_ZP6	012_ZP3	034_ZP6	020_ZP9-1	001_ZP12	004_ZP6	032_ZP0	016_ZP0-2	005_ZP3	037_ZP0	011_ZP9-2	027_ZP6	039_ZP0-2	015_ZP0	017_ZP0	022_ZP6	016_ZP6	034_ZP0	013_ZP12	002_ZP12	020_ZP6	006_ZP12	039_ZP0-1	014_ZP3	011_ZP9-1	025_ZP6	042_ZP6	010_ZP0	005_ZP6-1	019_ZP6	008_ZP12	037_ZP3	002_ZP3	018_ZP6	005_ZP6-2	025_ZP9	016_ZP9	003_ZP0	021_ZP0	032_ZP12	006_ZP9	007_ZP6-2	039_ZP6	021_ZP12
OTU_1	5	2812	780	1206	7367	5574	1349	542	2670	1165	2537	15	14	84	6134	312	38	1865	404	8	3023	2606	509	4020	1625	888	566	4	915	762	1751	3095	4	748	144	8	761	882	3913	1448	2529	1042	856	7	1025	2514	1104	1364	5	1357	168	7	1182	1174	3791	1717	2034	20	92	7	8	3950	1955	1857	940	151	2341	543	3805	2767	333	816	805	5804	4368	1553	1183	640	1516	1722	1733	986	3178	209	279	1206	311	605	4	3930	2031	541	1503	2927	91	1179	17	1863	841	4322	971	7	166	842	2759	982	2123	4	436	3105	1437	2473	4	640	1588	2650	772	6123	151	8	7051	306	1001	734	4038	24	308	2515	1214	3221	699	444	2065	1081	413	638	1081	1890	2775	3100	1529	402	1309	6	949	892	1104	721	377	185	1560	1261	110	940	148	2246	2497	2410	653	1721	3127	4	134	1157	6566	1165	1754	987	8	416	451	831	2989	908	1258	1018	29	85	822	574	2492	14
OTU_10	0	2057	195	84	1	171	3	848	92	431	427	1	10	272	4	1	0	776	425	73	858	1178	34	0	368	0	0	0	556	103	0	664	10	54	3	0	0	237	1560	50	613	0	45	6	257	331	1021	41	49	3	267	1	0	3	0	282	2706	1	13	37	76	0	7	0	586	40	8	0	0	1399	303	62	787	154	112	324	0	0	135	0	1	8	388	0	44	721	3	71	0	1497	0	52	3	30	736	1249	568	0	2	0	0	0	1	85	1660	47	1324	172	512	0	241	634	4	119	51	26	113	2	18	144	992	2	313	46	580	3	44	2	0	0	0	52	46	1	1	153	0	57	26	268	249	41	95	0	147	1	28	308	252	0	0	354	3	171	0	243	188	749	14	1	0	2	58	123	0	286	424	233	0	115	9	994	57	777	25	740	5	308	7	0	0	1815
OTU_100	0	0	1	0	35	43	0	1	90	2	149	100	0	0	58	0	81	6	1	0	0	0	2	159	5	0	16	0	0	0	0	12	0	3	3	5	79	12	0	1	0	0	0	0	0	0	3	0	0	10	1	6	0	6	49	84	0	49	0	0	0	0	0	0	1	11	0	4	3	4	0	1	0	0	42	2	0	42	8	0	2	147	15	11	0	0	0	4	110	0	0	29	0	1	0	0	0	0	14	179	0	30	5	71	1	1	0	68	0	4	23	0	97	5	14	2	0	0	20	0	3	0	0	62	21	8	29	24	0	57	3	3	0	0	19	8	0	0	0	8	12	72	0	8	0	14	0	1	3	0	0	1	0	0	19	9	24	0	28	3	0	233	2	42	134	3	1	0	0	0	0	0	16	233	19	0	0	0	0	2	0	0
OTU_101	0	195	0	0	0	0	2	125	0	57	1	0	0	29	0	0	2	50	15	1	359	425	143	0	16	0	104	137	23	0	0	27	0	64	10	0	0	75	205	2	0	0	0	0	151	581	175	24	2	3	58	0	0	72	0	5	81	1	2	0	0	0	426	1	96	52	8	36	0	215	66	321	0	0	0	94	0	191	104	320	0	0	93	46	0	77	453	1	0	279	99	273	0	1	0	226	0	1	125	0	0	0	10	113	70	61	0	0	0	0	217	408	2	79	1	0	19	0	56	0	41	97	432	149	245	2	70	145	80	0	14	172	73	46	40	100	0	0	38	43	164	187	43	0	26	58	272	60	47	40	0	50	13	0	65	147	95	2	90	0	0	0	26	0	0	256	106	93	300	14	10	151	0	0	135	134	1	14	0	0	0	0
OTU_102	0	0	0	8	27	13	18	0	0	3	0	0	0	0	0	0	0	0	0	23	0	52	7	66	0	0	0	0	0	18	0	0	0	0	10	105	0	8	0	52	0	17	7	0	1	67	0	6	35	32	27	25	0	0	0	0	0	0	0	26	35	0	0	0	0	1	0	0	32	0	0	4	0	3	0	0	0	0	1	0	24	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	0	0	29	18	0	74	0	20	1	0	0	35	17	0	0	0	30	0	14	0	30	1	0	0	0	139	0	53	31	0	0	57	7	0	8	17	0	6	0	7	36	0	0	102	32	20	0	0	0	5	3	0	69	0	11	0	0	0	0	0	82	31	77	0	5	0	0	1	0	8	0	0	10	0	27	0	0	0	0	0	101	14	12	0
OTU_10225	0	0	0	0	0	0	0	0	0	194	1	0	0	145	0	6	0	0	196	0	0	0	0	0	0	0	65	0	79	0	0	0	0	0	0	0	2	64	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	11	0	8	0	0	0	0	0	0	0	0	5	1	0	0	0	640	0	0	0	0	0	0	0	0	41	0	0	0	245	0	0	0	519	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	199	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	375	0	0	781	0	0	25	0	0	0	0	0	0	15	0	0	0	0	0	24	0	0	0	0	0	11	0	26	166	192	14	39	0	0	0	0	0	0	603	342	0	0	0	0	478	163	0	0	1	138	0	0	0	0	0	0	0	24	0	448	0
OTU_10235	11	0	0	2	0	2	9	0	0	3	0	6	0	3	3	0	0	11	7	1	0	24	0	0	7	0	0	0	2	2	0	25	17	11	2	14	0	8	0	2	0	1	1	10	0	3	0	0	19	0	0	5	0	0	0	3	0	10	0	7	12	0	1	1	0	5	0	0	1	11	0	3	0	0	0	0	0	0	0	3	1	0	22	1	0	0	71	1	7	0	0	0	0	8	1	0	14	0	3	0	2	3	0	2	15	2	0	14	0	0	16	0	37	1	6	7	5	0	5	10	3	17	0	11	1	15	3	1	0	0	4	9	1	9	2	0	0	0	1	3	1	12	5	5	0	0	0	0	3	9	1	3	2	1	0	0	2	1	9	4	0	12	5	0	10	9	0	6	0	2	1	0	1	13	0	0	0	0	0	1	0	0
OTU_1024	0	0	0	2	0	0	61	0	2	7	3	2	0	0	9	0	0	7	5	0	0	64	15	0	5	0	0	0	0	1	0	22	0	9	0	22	0	34	0	6	0	0	0	0	0	63	13	1	6	0	11	12	0	9	0	9	0	0	0	8	19	0	0	0	2	23	0	2	0	28	0	17	0	0	0	1	0	15	2	0	60	0	3	0	0	0	12	9	0	0	0	0	1	0	0	0	0	0	0	0	0	20	0	125	4	12	0	0	0	0	48	0	10	0	9	0	6	0	73	0	16	7	0	252	0	21	50	12	0	0	0	10	7	0	1	48	0	0	15	16	0	174	5	5	0	0	0	8	3	3	0	13	6	0	0	0	0	0	89	29	1	0	20	0	8	0	0	2	0	4	7	0	8	10	0	0	0	0	0	3	0	0
OTU_10263	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	1	0	1	0	1	0	1	2	1	0	1	0	0	2	2	0	0	0	1	0	1	1	0	1	0	0	0	0	15	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	23	0	0	0	1	0	0	0	1	1	4	0	0	0	0	1	0	0	2	0	0	1	40	0	2	1	1	0	0	0	0	0	2	0	206	0	40	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	3	0	50	0	0	0	1	2	0	28	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	81	0	0	0	0	0	167	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	5
OTU_10280	0	0	0	0	106	17	103	4	0	1	0	0	1	0	0	0	0	12	0	0	0	21	11	264	1	0	0	0	0	0	0	7	0	0	0	0	41	0	0	0	0	12	0	0	0	421	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	14	0	0	251	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	544	44	0	2	0	0	0	1	0	0	0	0	0	0	740	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	64	0	0	0	0	0	0	212	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	504	6	1	0
