	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
1.AV521	252	4.80025013569846	121.54	0.0130754600004058	76.48	0.601740214926847
10.AV570	274	4.67940979610193	107.71	0.0162405932959987	61.57	0.577845302187443
100.AVI446	261	4.73274478559586	113.61	0.0160953796514636	62.13	0.589536647242511
101.AVI448	259	4.69537184261466	109.44	0.0162608813756284	61.5	0.585690922636447
102.AVI470	245	4.55785475469564	95.38	0.0171601739317503	58.27	0.574280292199954
103.AVI471	220	3.88747078474655	48.79	0.0407170646942225	24.56	0.499587594953334
11.AV571	279	4.88666124172837	132.51	0.0115237636076839	86.78	0.601500279742637
12.AV572	263	4.57947689001868	97.46	0.0186750818139007	53.55	0.56966327140732
13.AV579	266	4.66383995266285	106.04	0.0197969913001203	50.51	0.578979072429342
14.AV580	268	4.69353588452273	109.24	0.0167569643615743	59.68	0.581884947425973
15.AV583	228	4.42493245439561	83.51	0.0214967214917301	46.52	0.564916965052964
16.AV584	253	4.68515640438594	108.33	0.0148576153156694	67.31	0.586892167774962
17.AV586	269	4.7442426707334	114.92	0.0140467030810061	71.19	0.587779817043051
18.AV587	269	4.80984093483189	122.71	0.0131258907725924	76.19	0.595907001579375
19.AV588	270	4.80706283489312	122.37	0.0128214446858055	77.99	0.595168080431151
2.AV527	275	4.78004608767359	119.11	0.0141042748840565	70.9	0.589889709052593
20.AV589	266	4.60082734185509	99.57	0.0194454564847215	51.43	0.571156552075487
21.AV590	260	4.60536553496358	100.02	0.0185332552157106	53.96	0.574065617819765
22.AV591	254	4.60541096857196	100.02	0.0204484425349812	48.9	0.576491769189201
23.AV596	257	4.71877346552608	112.03	0.0152899524529253	65.4	0.589432271839582
24.AV597	261	4.7928742566151	120.65	0.013036298588345	76.71	0.597026703932878
25.AV598	259	4.65492474011184	105.1	0.0171725397353765	58.23	0.580645635154029
26.AV604	279	4.62964748079536	102.48	0.0171429933705467	58.33	0.569864395556763
27.AV608	243	4.49328123347474	89.41	0.0225514227426871	44.34	0.566988964272695
28.AV609	256	4.584807997637	97.98	0.0185293906570171	53.97	0.573100999704626
29.AV610	258	4.67897483745556	107.66	0.0155740527146911	64.21	0.584052191789729
3.AV541	258	4.65767867551796	105.39	0.01856694371067	53.86	0.581393902209541
30.AV611	272	4.75090536362653	115.69	0.0134773816004068	74.2	0.587440765649568
31.AV612	240	4.29856728511327	73.59	0.0244653877340947	40.87	0.543648256307061
32.AV650	277	4.61240953802796	100.73	0.0200734335592795	49.82	0.568468832708036
33.AV717	261	4.42159059630809	83.23	0.0240757206696697	41.54	0.550777574899024
34.AV718	258	4.33507077572833	76.33	0.0253828587389268	39.4	0.541124429193251
35.AV770	259	4.67772106842703	107.52	0.0175794816725639	56.88	0.583489201757736
36.AV782.2	256	4.61328061402667	100.81	0.0195798323926452	51.07	0.576660076753334
37.AV791	255	4.64309287829479	103.87	0.016532432924508	60.49	0.580796547834286
38.AV794	266	4.53862087866932	93.56	0.0197640595091065	50.6	0.563434108612597
39.AV802	275	4.78289502051312	119.45	0.0147764491053976	67.68	0.590241286450174
4.AV542	270	4.82709072763613	124.85	0.0150630097772017	66.39	0.59764775729171
40.AV803	283	4.84825145644126	127.52	0.0127868726053438	78.21	0.595267635779341
41.AV814	280	4.75593624678399	116.27	0.0149847668628339	66.73	0.58503760256231
42.AV816	237	4.50223680485252	90.22	0.0218261092146715	45.82	0.570716610086316
43.AV817	251	4.42787380156907	83.75	0.0247271842542657	40.44	0.555460027484209
44.AV833	263	4.65658481667825	105.28	0.0167763722104508	59.61	0.579255099209326
45.AV863	246	4.63150617672727	102.67	0.0162973426420533	61.36	0.583128450519519
46.AV864	254	4.64772577100315	104.35	0.0183976957518984	54.35	0.581788611421721
47.AV865	256	4.90291284608753	134.68	0.0108292457846251	92.34	0.612864105760942
48.AV866	250	4.74227715986043	114.7	0.0144231175394523	69.33	0.595330853861002
49.AV967	226	4.40062421570631	81.5	0.0243270174960158	41.11	0.562726791401615
5.AV543	276	4.72012375069596	112.18	0.0160488716031343	62.31	0.582118704316205
50.AV968	238	4.57907608035331	97.42	0.0189143766280237	52.87	0.580010358394222
51.AV971	267	4.53639691149671	93.35	0.0212330940924727	47.1	0.562779808336845
52.AV972	267	4.52410390371848	92.21	0.0200586782941972	49.85	0.561254752946788
53.AV974	247	4.48805715669382	88.95	0.0205705002934227	48.61	0.564651459341169
54.AV996	251	4.28407317285603	72.54	0.028525571040867	35.06	0.53742078229414
55.AVI316	266	4.84389105620817	126.96	0.0123629937518813	80.89	0.601331001736228
56.AVI317	251	4.57943136254871	97.46	0.0192171073109997	52.04	0.574472350499685
57.AVI319	266	4.68004999334666	107.78	0.0194731642193242	51.35	0.580991421569624
58.AVI321	267	4.69960524791652	109.9	0.0168671103290744	59.29	0.58302723334865
59.AVI323	255	4.56723297368157	96.28	0.0230640429011831	43.36	0.571307362096831
6.AV551	261	4.63491083780616	103.02	0.0170548323271969	58.63	0.577349914135334
60.AVI327	261	4.54684918973429	94.33	0.0225231234307747	44.4	0.566380472277209
61.AVI328	265	4.77189894528935	118.14	0.013608874817231	73.48	0.592793630336692
62.AVI331	258	4.64419462884379	103.98	0.0161164979342905	62.05	0.579710758510798
63.AVI332	258	4.75044436827674	115.64	0.0142959654636813	69.95	0.592973363108741
64.AVI333	260	4.79770643081318	121.23	0.0140836006670914	71	0.598041194648496
65.AVI334	261	4.79062336069241	120.38	0.0152291205018379	65.66	0.596746319991704
66.AVI335	252	4.48277950770626	88.48	0.0271832896586933	36.79	0.561943362987756
67.AVI336	242	4.80804768592179	122.49	0.0127655365854874	78.34	0.60716387464428
68.AVI338	265	4.67648433753425	107.39	0.01694900548738	59	0.580940661033112
69.AVI339	262	4.55605966088295	95.21	0.0183526898120101	54.49	0.567138025722161
7.AV555	260	4.55534396322347	95.14	0.0172356699368263	58.02	0.567830355001365
70.AVI340_1	261	4.70885382870044	110.92	0.0165691150094825	60.35	0.586560658621615
71.AVI342	262	4.7941584969743	120.8	0.012189682208389	82.04	0.596776554160884
72.AVI349	247	4.49607367125888	89.66	0.0238582334053678	41.91	0.565660033093676
73.AVI352	260	4.69196386190814	109.07	0.0176058614202372	56.8	0.584860227212259
74.AVI353	262	4.73871242641517	114.29	0.0152942094992983	65.38	0.589874630715732
75.AVI354	257	4.74595530299581	115.12	0.0147009554315751	68.02	0.592827614364416
76.AVI355	268	4.77110552459791	118.05	0.0145002794194151	68.96	0.591501706953867
77.AVI362	245	4.54327845268373	94	0.0182897654261654	54.68	0.572443708230276
78.AVI369	253	4.50791814843456	90.73	0.0242490873192679	41.24	0.564690188743786
79.AVI372	247	4.4851121718191	88.69	0.0249090552601345	40.15	0.564280944896012
8.AV567	263	4.79770766899183	121.23	0.0129605570080816	77.16	0.596810053115636
80.AVI376	238	4.49950390692124	89.97	0.0203327551213262	49.18	0.569931319736497
81.AVI383	234	4.67090120961321	106.79	0.014112223539337	70.86	0.593479638623463
82.AVI390	252	4.55684861625695	95.28	0.0238853167871113	41.87	0.57122837106833
83.AVI403	232	4.62255101860313	101.75	0.0153196889347791	65.28	0.588261923955962
84.AVI404	261	4.60925734231532	100.41	0.0232861768768099	42.94	0.574154374040346
85.AVI406	277	4.81694432450984	123.59	0.0136988365465541	73	0.593677273190374
86.AVI408	239	4.52716134378693	92.5	0.0214196285942154	46.69	0.572995527429218
87.AVI409	222	4.05136974181004	57.48	0.0392441487309639	25.48	0.519778494152529
88.AVI413	249	4.4412649924857	84.88	0.0236883929337633	42.21	0.557947727951345
89.AVI414	241	4.5937837063257	98.87	0.0161764132283674	61.82	0.580544414452076
9.AV568	257	4.66975237447498	106.67	0.0159196505373533	62.82	0.583308940580432
90.AVI420	251	4.43957071719521	84.74	0.0274734432837999	36.4	0.556927361325765
91.AVI422	263	4.6524814680757	104.84	0.0161436335807631	61.94	0.578744663837603
92.AVI427	266	4.70599447559179	110.61	0.016849962893877	59.35	0.584212225117217
93.AVI429	265	4.83694818089545	126.08	0.0128668242918207	77.72	0.600874432752601
94.AVI433	235	4.66151685199201	105.8	0.0150919415402732	66.26	0.591824645794095
95.AVI434	223	4.22268717495306	68.22	0.0254388012750212	39.31	0.541307698999727
96.AVI436	249	4.64469256553447	104.03	0.0175049878576036	57.13	0.58350394951823
97.AVI438	261	4.64825074594373	104.4	0.0171078848437641	58.45	0.579011606255705
98.AVI439	258	4.72125665789961	112.31	0.0142481005621542	70.18	0.589330012415204
99.AVI440	252	4.70492064952221	110.49	0.0161342869902078	61.98	0.589790090687703
