	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
100.AVI339	290	4.54856286078021	94.5	0.0214767519133923	46.56	0.556065209371649
101.AVI340	270	4.63084028424164	102.6	0.0199530718240205	50.12	0.573349760013407
102.AVI349	255	4.31978827462443	75.17	0.0296997728724347	33.67	0.540354927855399
103.AVI352_1	261	4.50281632050677	90.27	0.0232971562645265	42.92	0.560895496587865
104.AVI352_2	261	4.52805490080986	92.58	0.0206462958428554	48.43	0.564039352571466
105.AVI353	211	3.94870780599047	51.87	0.041806467942951	23.92	0.511417831772685
106.AVI354_1	266	4.53843378464086	93.54	0.0213040700575857	46.94	0.563410882359519
107.AVI354_2	284	4.7458639278166	115.11	0.0144069548066908	69.41	0.58233266115195
108.AVI355	276	4.61716526618507	101.21	0.0193790930979035	51.6	0.569421143242089
109.AVI362_T	256	4.27355250958001	71.78	0.0346162189030217	28.89	0.534194063697501
110.AVI362_TA	265	4.19338751431822	66.25	0.0403288290524533	24.8	0.520927504232913
111.AVI369	262	4.37417559705486	79.37	0.031350896820844	31.9	0.544497108669334
112.AVI372_T	264	4.28227293967008	72.4	0.0303961637685614	32.9	0.532330076837607
113.AVI372_TA	258	4.024270130235	55.94	0.0455079318033879	21.97	0.50232879456899
114.AVI376_T	262	4.28052908763993	72.28	0.0279885620462104	35.73	0.532839996950331
115.AVI376_TA	258	4.46793875201239	87.18	0.0186409436036244	53.65	0.557709650414396
116.AVI383	237	4.45765523795093	86.28	0.0235160747220979	42.52	0.565065321218749
117.AVI390_1	260	4.49340716210337	89.43	0.0242811793141959	41.18	0.560109841237396
118.AVI390_2	283	4.73403269729722	113.75	0.0166247508667154	60.15	0.581243872505472
119.AVI403	251	3.8650582762905	47.71	0.0553590802296912	18.06	0.484856947733157
12.AV521	276	4.81362841466579	123.18	0.0132859688500151	75.27	0.593650354059415
120.AVI404_T	273	4.35402830895757	77.79	0.0282341427359874	35.42	0.538015441850103
121.AVI408	247	4.50461842196327	90.43	0.0196410415199026	50.91	0.566735065292797
124.AVI406_T	279	4.68501548443747	108.31	0.0158774825604322	62.98	0.576679656126727
125.AVI409_T	216	4.17600172462006	65.11	0.0326445407721255	30.63	0.538499330061852
127.AVI413	260	4.44227883540252	84.97	0.0214514685856332	46.62	0.55373661977804
128.AVI414	259	4.35016217053786	77.49	0.0271187709990965	36.87	0.542630185783475
129.AVI420_T	262	3.91016472890679	49.91	0.0531244456051943	18.82	0.486737064406848
13.AV527	290	4.88124798017888	131.8	0.0116239490868279	86.03	0.596736213870315
130.AVI420_TA	258	4.26165929479757	70.93	0.0317575606455834	31.49	0.531960854301395
131.AVI422_T	262	4.63209500169791	102.73	0.0168639376791042	59.3	0.576602900259504
132.AVI422_TA	284	4.58339547759523	97.85	0.0178058194855906	56.16	0.562397263422548
133.AVI427_1	271	4.6997834717943	109.92	0.0165253525606574	60.51	0.581501707992139
134.AVI427_2	283	4.73498661614819	113.86	0.0158634091097966	63.04	0.581360994528586
135.AVI429_1	278	4.89974903005598	134.26	0.0120174857110053	83.21	0.603496070013026
136.AVI429_2	281	4.75863756392154	116.59	0.0136537033535557	73.24	0.584999774611309
137.AVI433	245	4.45853286027596	86.36	0.0211826884007713	47.21	0.561765938492122
138.AVI434_T	236	3.31002039862239	27.39	0.140740905712764	7.11	0.419912506236136
139.AVI434_TA	222	3.12471943164263	22.75	0.182792114513528	5.47	0.400892059805611
14.AV541	295	4.76074261436473	116.83	0.0142255294075877	70.3	0.58025490067225
140.AVI436	257	4.50608475784271	90.57	0.0214897987462017	46.53	0.562864862092046
141.AVI438	262	4.61929877244718	101.42	0.016352381977394	61.15	0.575010026431215
142.AVI439	281	4.58511769339621	98.01	0.0199556477737358	50.11	0.563668230911172
143.AVI440	258	4.5891530158708	98.41	0.0168870574809282	59.22	0.572840199079878
144.AVI446_T	262	4.33677263362592	76.46	0.0247486702479627	40.41	0.539841190087455
145.AVI446_TA	272	4.60577810455865	100.06	0.0181802231660331	55	0.569496045294544
146.AVI448_1	273	4.2440150871346	69.69	0.0369621222746964	27.05	0.524421407096891
147.AVI448_2	279	4.56839136991754	96.39	0.0203801577072957	49.07	0.562324366484496
148.AVI470	256	4.4247753647964	83.49	0.0203706731764353	49.09	0.55309692059955
149.AVI471_T	244	3.90067159824365	49.44	0.0620955218764729	16.1	0.491842237640205
15.AV542	289	4.67037887919743	106.74	0.0228599174905561	43.74	0.571305362346582
16.AV543	286	4.83188008277433	125.45	0.0131899804133913	75.82	0.592151503786089
17.AV551T	250	4.33788178311242	76.55	0.0236768986227758	42.24	0.544564305044627
18.AV555T	191	3.87151493528145	48.02	0.0546217809645504	18.31	0.510927258195712
19.AV555TA	243	4.12496383586388	61.87	0.0410701136201255	24.35	0.520512483290554
20.AV567	280	4.61238489173232	100.72	0.0196014299116257	51.02	0.567379052017023
21.AV568	278	4.49059798143192	89.17	0.025337766964072	39.47	0.553101437885612
22.AV570	260	4.22846068354086	68.61	0.0414830285907884	24.11	0.527083871257283
23.AV571	285	4.86691997635565	129.92	0.0120845703441577	82.75	0.59681527058871
24.AV572	270	4.68770135404383	108.6	0.0157322103994715	63.56	0.580389795670895
25.AV579	282	4.41058680935178	82.32	0.0281320761887263	35.55	0.541870997355639
26.AV580	271	4.41346287896007	82.55	0.0247157836175238	40.46	0.546075413405239
27.AV583	219	4.15396068474005	63.69	0.028939000433482	34.56	0.534286103644508
28.AV584	254	4.53920228636822	93.62	0.0206368080132093	48.46	0.568203961521266
29.AV586	279	4.83208231389853	125.47	0.0132180496230453	75.65	0.594782146699698
30.AV587	277	4.75746541616598	116.45	0.0148012289437543	67.56	0.586346634980949
31.AV588	277	4.73973573220037	114.4	0.0165403872173169	60.46	0.584161492342353
32.AV589	264	4.55500699993714	95.11	0.025217098552	39.66	0.566233694216415
33.AV590	271	4.57167977552898	96.71	0.0186734170990342	53.55	0.565651505823154
34.AV591	269	4.47923017164437	88.17	0.0229855014349036	43.51	0.554946547533127
35.AV596	275	4.50950107466218	90.88	0.0320008574057353	31.25	0.556502642048684
36.AV597	269	4.62622211493612	102.13	0.016286292645876	61.4	0.573157862495536
37.AV598	263	4.68756009575371	108.59	0.0168176183390856	59.46	0.583108263934175
38.AV604T	256	4.2915398430982	73.08	0.0308800656014198	32.38	0.536442480387275
39.AV604TA	271	4.231395373971	68.81	0.0361550877632904	27.66	0.523548297899513
40.AV608	256	4.33763839234788	76.53	0.0258010100496932	38.76	0.542204799043485
41.AV609	279	4.53814095309583	93.52	0.0219948570331912	45.47	0.558600835574432
42.AV610	274	4.55130705620684	94.76	0.0206988988107982	48.31	0.562026305845771
43.AV611	281	4.75880888703893	116.61	0.0137552618556488	72.7	0.585020836098701
44.AV612T	257	4.3012972339177	73.8	0.0249076046596604	40.15	0.537284406417837
45.AV612TA	270	4.54025577904917	93.71	0.0193022468739554	51.81	0.562134386317672
46.AV650T	295	4.75712713852544	116.41	0.0143444992014184	69.71	0.579814234636728
47.AV650TA	290	4.64552040593644	104.12	0.0176912482246285	56.53	0.567918341734035
48.AV717T	259	3.65964333760058	38.85	0.0930392021110032	10.75	0.456496302053477
49.AV718T	227	4.13439647625675	62.45	0.0320409970880482	31.21	0.528252841334895
50.AV770T	272	4.75317003263717	115.95	0.0148365643645679	67.4	0.587720787833916
51.AV770TA	281	4.69209742963849	109.08	0.0165452607310788	60.44	0.576819709826944
52.AV782.2T	277	4.71513842135283	111.62	0.015509767696317	64.48	0.581129930537189
53.AV782.2TA	274	4.68930668693681	108.78	0.0175725062389932	56.91	0.579067437483214
54.AV791T	287	4.62754707404744	102.26	0.0179553645267281	55.69	0.56676054186591
55.AV791TA	283	4.56817525376982	96.37	0.0220983195014289	45.25	0.560879918784839
56.AV794T	251	4.44607632982846	85.29	0.022863630814125	43.74	0.557743465834159
57.AV794TA	259	4.49107180024289	89.22	0.0195851630945377	51.06	0.560206960061771
58.AV802	297	4.80926917100401	122.64	0.013511973741963	74.01	0.585473865852826
59.AV803	291	4.77597588280305	118.63	0.015384545323408	65	0.583512354521215
60.AV814	280	4.42883382894553	83.83	0.0270219693786176	37.01	0.544800054286941
61.AV816	263	4.44209999763392	84.95	0.0237984710597663	42.02	0.55257429556769
62.AV817	244	4.47705766461556	87.98	0.0212914611397445	46.97	0.564519725475029
63.AV833T	281	4.56710406754605	96.26	0.0197444003646862	50.65	0.561453738439173
64.AV863	252	4.48774901074228	88.92	0.0204633517666631	48.87	0.562566320071334
65.AV864	265	4.60236586027711	99.72	0.0192274919581463	52.01	0.571733223551298
66.AV865	272	4.80716495840484	122.38	0.0124719026093661	80.18	0.594397161726142
67.AV866	278	4.64313290250321	103.87	0.0176870266779823	56.54	0.57188897676599
68.AV967	228	4.46931612676723	87.3	0.0197271264571217	50.69	0.570583286460689
69.AV968	246	4.2861576737215	72.69	0.0276692200126854	36.14	0.539647446767669
70.AV971	254	4.21327821970201	67.58	0.0277500695144596	36.04	0.527405747616806
71.AV972	261	4.46451012984814	86.88	0.0219105641814664	45.64	0.556123867389044
72.AV974	278	4.42276694399925	83.33	0.0209816631553878	47.66	0.544746772317147
73.AV996	236	3.98777125835717	53.93	0.0463630246249233	21.57	0.505892659782433
90.AVI323_1	253	4.33843452747854	76.59	0.0263182689900673	38	0.543459604080249
91.AVI323_2	282	4.70465650486629	110.46	0.0158927318897697	62.92	0.577999486848841
92.AVI327	280	4.19789829525565	66.55	0.0367636358208983	27.2	0.516392194306115
94.AVI328	283	4.54111371365294	93.8	0.0198493586920926	50.38	0.557557306673927
95.AVI332	267	4.43394190322175	84.26	0.0265379491561406	37.68	0.550069366317541
96.AVI333	281	4.66022579387808	105.66	0.0180218037011681	55.49	0.572901592616738
97.AVI334	273	4.5168410335242	91.55	0.0244838688399002	40.84	0.558133767623577
98.AVI335	272	4.47283913244735	87.61	0.023207731369536	43.09	0.553058384346882
99.AVI338	282	4.60132827058265	99.62	0.0191744274712789	52.15	0.565304900893168
